zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 21:36:25
Casa/Salon,1,2024-01-22 21:36:30
Casa/Salon,1,2024-01-22 21:36:40
Casa/Salon,1,2024-01-22 21:36:45
Casa/Salon,1,2024-01-22 21:36:50
Casa/Salon,1,2024-01-22 21:37:05
Casa/Salon,1,2024-01-22 21:37:15
Casa/Salon,1,2024-01-22 21:37:20
Casa/Salon,1,2024-01-22 21:37:25
Casa/Salon,1,2024-01-22 21:37:40
Casa/Salon,1,2024-01-22 21:37:45
Casa/Salon,1,2024-01-22 21:37:50
Casa/Salon,1,2024-01-22 21:37:55
Casa/Salon,1,2024-01-22 21:38:05
Casa/Salon,1,2024-01-22 21:38:15
Casa/Salon,1,2024-01-22 21:38:20
Casa/Salon,1,2024-01-22 21:38:25
Casa/Salon,1,2024-01-22 21:38:30
Casa/Salon,1,2024-01-22 21:38:35
Casa/Salon,1,2024-01-22 21:38:40
Casa/Salon,1,2024-01-22 21:38:45
Casa/Salon,1,2024-01-22 21:38:50
Casa/Salon,1,2024-01-22 21:38:55
Casa/Salon,1,2024-01-22 21:39:05
Casa/Salon,1,2024-01-22 21:39:10
Casa/Salon,1,2024-01-22 21:39:15
Casa/Salon,1,2024-01-22 21:39:25
Casa/Salon,1,2024-01-22 21:39:30
Casa/Salon,1,2024-01-22 21:39:40
Casa/Salon,1,2024-01-22 21:39:50
Casa/Salon,1,2024-01-22 21:39:55
Casa/Salon,1,2024-01-22 21:40:00
Casa/Salon,1,2024-01-22 21:40:05
Casa/Salon,1,2024-01-22 21:40:10
Casa/Salon,1,2024-01-22 21:40:15
Casa/Salon,1,2024-01-22 21:40:20
